CHANNEL_ID,CHANNEL_TITLE,CHANNEL_VIEWS,COUNTRY,RELEVANCE,SUBS,CHANNEL_LIFETIME_DAILY_VIEWS,CHANNEL_LIFETIME_DAILY_VIEWS_RELEVANT,CHANNEL_VIDEO_VIEWS,RELEVANT_IMPRESSIONS_DAILY,RELEVANT_IMPRESSIONS_IN_DAILY,VIDEO_VIEWS_DAILY,RELEVANT_VIDEO_VIEWS_DAILY,AVG_MINUTES,FROM_DATE,TO_DATE,LR,TAGS,IDEOLOGY,MEDIA,LOGO_URL
UCmgGplXS8rHnP6COyjEdRCQ,WWW.UNIONMAG.CO.UK,5331522,GB,0.9,19400,2216.073057,2216.073057,5247661,12.61762428,30.041022723,289.511627907,260.560465116,21.191489,2013-12-05T00:00:00.0000000Z,2020-05-30T00:00:00.0000000Z,C,"[
  ""Conspiracy""
]",Conspiracy,YouTube,https://yt3.ggpht.com/ytc/AL5GRJXhBKe_8lEGApqK-Vc5caV0HyJQWqB8hgS9FICf=s88-c-k-c0x00ffffff-no-rj
UCMhruZ35281kDEuANjXYcpA,IntrovertedSmiles,335887,US,0.95,22500,287.714890,287.714890,340079,103.660003964,18.281093523,172.506644518,163.881312292,23.441558,2017-07-21T14:57:40.0000000Z,2020-10-15T20:59:32.0000000Z,C,"[
  ""AntiSJW"",
  ""PartisanRight""
]",Anti-SJW,YouTube,https://yt3.ggpht.com/a/AATXAJwH5t9qZtkl4XsJzqvHJeBQJFNQdQk3sSElGiq1lA=s88-c-k-c0xffffffff-no-rj-mo
UCmqF5vINH_Ssgc2pGecGeUA,SLO County Observer,45777822,US,0.9,102000,17952.968189,17952.968189,22010339,30835.02571456,25356.819333027,14679.113787375,13211.202408638,14.910414,2019-06-13T00:00:00.0000000Z,2022-10-21T00:00:00.0000000Z,C,[],Unclassified,YouTube,https://yt3.ggpht.com/ytc/AL5GRJUrOc1JYb-riZNyssT5o1pWKnx81G1XGz0EDl4D=s88-c-k-c0x00ffffff-no-rj
UC5aNPmKYwbudeNngDMTY3lw,BNN Bloomberg,11954604,CA,0.85,50400,3678.594467,3678.594467,10903354,9572.012454356,14774.046217731,5486.092192691,4663.178363787,7.129572,2014-09-09T00:00:00.0000000Z,2022-10-21T00:00:00.0000000Z,C,"[
  ""Mainstream News""
]",Center/Left MSM,Mainstream Media,https://yt3.ggpht.com/ytc/AL5GRJUcfMPvBrk_UF9EdM2LmCxBNKKQ6NIfLTj2gsd7CA=s88-c-k-c0x00ffffff-no-rj
UC6UcjqhROKEWmz7aGzees9A,WFMY News 2,29458419,US,0.85,48700,12906.377470,12906.377470,26122508,13460.184206456,7883.157994268,16818.193521595,14295.464493355,8.022908,2017-03-16T00:00:00.0000000Z,2022-09-30T00:00:00.0000000Z,C,"[
  ""Mainstream News""
]",Center/Left MSM,Mainstream Media,https://yt3.ggpht.com/ytc/AL5GRJVDBXU9GCpRzZryfueYLMjxppJWcMaaaccHAvvHtw=s88-c-k-c0x00ffffff-no-rj
UCmKcSTao6NHzmWFlS4SCAog,AWResistance,3030870,GB,1,11500,2368.141844,2368.141844,3005172,2.451850216,2.065078497,200.309800664,200.309800664,20.204380,2010-12-29T00:00:00.0000000Z,2014-06-20T00:00:00.0000000Z,R,"[
  ""Conspiracy""
]",Conspiracy,YouTube,https://yt3.ggpht.com/ytc/AL5GRJX0IIuYAGrCts8Laha64BBoEMSqdrHH-_stYbOL=s88-c-k-c0x00ffffff-no-rj
UChSEn4mpf2H8zRxqweupJWA,Bear049,1489663,US,1,11800,365.992308,365.992308,1474949,278.158243638,44.204340213,122.110465116,122.110465116,19.891667,2011-10-01T00:00:00.0000000Z,2022-10-13T00:00:00.0000000Z,R,"[
  ""Conspiracy""
]",Conspiracy,YouTube,https://yt3.ggpht.com/ytc/AL5GRJVVYyhqEdM39lDxItteHO_RkuQuIQRTyOhyj97h=s88-c-k-c0x00ffffff-no-rj
UCP2gdh7HfjgCoi8lO50dA5w,Fortune Magazine,24632512,US,1,128000,5069.929787,5069.929787,23828670,5580.932790921,4344.378661965,5431.804817276,5431.804817276,9.483959,2009-11-10T00:00:00.0000000Z,2022-09-23T00:00:00.0000000Z,C,"[
  ""Mainstream News""
]",Center/Left MSM,Mainstream Media,https://yt3.ggpht.com/XGtUn9hLywSdzmtXV36cJCFHDjnZnvT_82bBGvQN9inRsy7o04AvqkTQ74LsH1HINqbkdYZC=s88-c-k-c0x00ffffff-no-rj
UCkUGywMJVJ9wSN-8OHzLL-w,RockNewmanShow,15586268,,0.95,185000,4387.644007,4387.644007,14716158,233.584718368,7603.725235562,2111.622093023,2006.040988372,53.378830,2013-06-23T00:00:00.0000000Z,2022-08-29T00:00:00.0000000Z,C,"[
  ""Black"",
  ""SocialJustice""
]",Black,YouTube,https://yt3.ggpht.com/ytc/AL5GRJUAUTuEmw2vK-o2NklEg-hD4XH3OFQEvKsfmFDH=s88-c-k-c0x00ffffff-no-rj
UCBZ_FipjV1hrExi9uDWesGA,HighTale,0,NL,1,194000,239.537295,239.537295,189474,457.054981719,3.088829574,157.367109635,157.367109635,14.382353,2020-07-09T22:27:33.0000000Z,2022-09-08T00:00:00.0000000Z,R,"[
  ""Conspiracy"",
  ""PartisanRight"",
  ""QAnon""
]",QAnon,YouTube,https://yt3.ggpht.com/ALGOGFgmG1GPrjkI8A1tYkefkUc9jElrfTzOw8cmWfs8DVy3A6IP_5jO_Z1qgXSjP0bUWfT_5Q=s88-c-k-c0x00ffffff-no-rj
UCV5uJg_7m89dZ-0rqhHT1Ww,Mixed Mental Arts,512922,US,0.9,11300,390.721139,390.721139,521222,12.50554053,46.887335586,35.357973422,31.82217608,43.762943,2017-03-28T10:39:18.0000000Z,2020-11-21T00:00:00.0000000Z,C,"[
  ""AntiSJW""
]",Anti-SJW,YouTube,https://yt3.ggpht.com/ytc/AL5GRJXOCAkWbWroiyreCNWAS5CaHSdox6f75C-97SKeiw=s88-c-k-c0x00ffffff-no-rj
UCOCMSlIYvJn5xMpSZ5H5xjA,Michael & Cindy Howard,1865886,US,0.9,11900,642.809786,642.809786,1865434,11.005344516,4.490513581,46.456810631,41.811129568,21.683544,2014-07-30T00:00:00.0000000Z,2022-07-10T00:00:00.0000000Z,C,"[
  ""Conspiracy""
]",Conspiracy,YouTube,https://yt3.ggpht.com/ytc/AL5GRJViLB3Q0aSEJ6NmpQihW6DwCYNcOxSt9cdG7SVH4Q=s88-c-k-c0x00ffffff-no-rj
UCTXFxw6isdxDKA1Xpj1ZKTQ,Isla,2534976,,0.85,34700,2104.073246,2104.073246,5457966,841.686023425,618.522355423,941.068936877,799.908596346,9.568421,2015-06-02T00:00:00.0000000Z,2022-07-09T00:00:00.0000000Z,C,"[
  ""LGBT""
]",LGBT,YouTube,https://yt3.ggpht.com/eAWEhmbar1qq-EYk9Tf9w97iagQ9G6xIR2OZColIorDk-ncptjNcNC2o2WTI4HgS4XPHcVtibg=s88-c-k-c0x00ffffff-no-rj
UCyk94lY4SR7ecVwXdAfZ5Mg,BrotherJohnF,5196792,US,0.8,14500,1294.956869,1294.956869,5194072,11.716633249,3.642773734,68.033222591,54.426578073,18.718408,2010-12-17T00:00:00.0000000Z,2021-12-10T00:00:00.0000000Z,R,"[
  ""Libertarian""
]",Libertarian,YouTube,https://yt3.ggpht.com/ytc/AL5GRJUL7bA6C14nRu1nmkB35fV9MNTuZerEVfwmKPCC=s88-c-k-c0x00ffffff-no-rj
UCMqcMeW6zs76Pc9kU_qGWaA,HyperReport,920237,,0.95,14500,374.622964,374.622964,920074,1.630152634,0.5074540432,0.9534883721,0.9058139535,1.964000,2010-06-26T00:00:00.0000000Z,2017-03-17T00:00:00.0000000Z,R,"[
  ""Conspiracy""
]",Conspiracy,YouTube,https://yt3.ggpht.com/ytc/AL5GRJVwHt4-kdBOcDUXA7aYlXepyjz8WZwK21lI2wR8=s88-c-k-c0x00ffffff-no-rj
UCWeZblpq1zeVigPZUOBwMcw,dangerousanalysis,730051,,1,10600,479.929559,479.929559,729013,1.867983962,2.374399311,11.07807309,11.07807309,13.169811,2013-03-14T00:00:00.0000000Z,2017-05-11T00:00:00.0000000Z,R,"[
  ""AntiSJW""
]",Anti-SJW,YouTube,https://yt3.ggpht.com/ytc/AL5GRJVUG0gKpfKNAkIOnwTLuhQ2zLOCRn_hwGJQpUpY=s88-c-k-c0x00ffffff-no-rj
UCfraCzrr8xTTdbpiXfv75qA,The Drop Report,546617,,0.9,14900,1335.322845,1335.322845,2121828,2062.773881079,419.095087078,1756.100498339,1580.490448505,13.910959,2018-06-12T00:00:00.0000000Z,2022-10-18T00:00:00.0000000Z,C,"[
  ""Black"",
  ""SocialJustice""
]",Black,YouTube,https://yt3.ggpht.com/ytc/AL5GRJX5JX0fEyBmP9Tz0lFwYUcHB8ak53i1Theggx_HYA=s88-c-k-c0x00ffffff-no-rj
UCa44lxg7jG18m2sLbfEUUYg,JehToday,11316051,,0.9,51900,3879.643128,3879.643128,11262604,43.671205203,234.699601629,1427.525747508,1284.773172757,47.329957,2013-01-03T00:00:00.0000000Z,2020-12-15T00:00:00.0000000Z,R,"[
  ""Conspiracy"",
  ""ReligiousConservative""
]",Conspiracy,YouTube,https://yt3.ggpht.com/ytc/AKedOLQXnfDLFRKrS9h48jkhFLKQyVlRwSHCYbZUdw=s88-c-k-c0x00ffffff-no-rj
UC5h5uO--syCLZt0UW4Bhldg,Chalk Talk,1059738,,0.95,13800,930.436348,930.436348,1059767,29.690964944,274.669600524,190.028239203,180.526827243,23.369748,2018-03-07T00:00:00.0000000Z,2021-04-19T00:00:00.0000000Z,R,"[
  ""Conspiracy"",
  ""PartisanRight"",
  ""ReligiousConservative""
]",Conspiracy,YouTube,https://yt3.ggpht.com/ytc/AKedOLR_Rec2aPDBIyKCPZt7nEm1bZtUYUAfiz25V8Cz=s88-c-k-c0x00ffffff-no-rj
UC5qxaXPHdEaaoOufE_UdQlA,FASIRIUS,3081619,BE,0.85,23900,1400.677083,1400.677083,3092695,26.146173099,12.728253221,227.721760797,193.563496678,17.654206,2014-08-26T00:00:00.0000000Z,2020-09-11T00:00:00.0000000Z,R,"[
  ""Conspiracy"",
  ""PartisanRight""
]",Conspiracy,YouTube,https://yt3.ggpht.com/ytc/AKedOLQjP3vx1qUwTgC5iJqNiIR_xZNR9IZHCYZGrC7PIQ=s88-c-k-c0x00ffffff-no-rj
UC8-LhLmfkg0KStfM5qUuhyw,WoodwardTV,75309823,US,0.95,464000,31142.461637,31142.461637,72655363,21214.314622041,8340.618804266,18229.373754153,17317.905066445,15.350114,2016-06-08T00:00:00.0000000Z,2022-10-28T00:00:00.0000000Z,C,"[
  ""Conspiracy""
]",Conspiracy,YouTube,https://yt3.ggpht.com/ytc/AL5GRJVJNC3xR55j0c-dde5LnsthPgIJhwtT6pbvrzyxGw=s88-c-k-c0x00ffffff-no-rj
UCtepd4mjYbx4xF5R7pccBdg,Big Head Scientist,4592197,US,0.8,38500,2075.449885,2075.449885,4493349,109.133339169,35.116508703,590.57641196,472.461129568,4.937500,2013-01-26T00:00:00.0000000Z,2018-12-31T00:00:00.0000000Z,C,"[
  ""Black"",
  ""Conspiracy"",
  ""SocialJustice""
]",Conspiracy,YouTube,https://yt3.ggpht.com/ytc/AL5GRJXJ70UzRQsPm7wNVXDh7y7d1FDlHPUBz8pJzxzH=s88-c-k-c0x00ffffff-no-rj
UC7UiChjgT_LDKcr_8NEEbMA,Shoe0nHead Live,2148413,US,1,226000,10655.980574,10655.980574,12616681,46900.115102228,29266.4267194,9006.336378738,9006.336378738,33.553398,2019-06-28T00:00:00.0000000Z,2022-09-24T00:00:00.0000000Z,L,"[
  ""AntiSJW""
]",Anti-SJW,YouTube,https://yt3.ggpht.com/fAKqB2NWGFVJF48EZwY9G87c9nhiO5CY5hxXAHcpGvd-JzFa_luPKXJpEWbpg8eH6AEdtYkNIw=s88-c-k-c0x00ffffff-no-rj
UCplVxs_j_sLAt0fkplXcl4A,Senator Mike Lee,5664498,US,1,28500,1296.025876,1296.025876,5509406,11395.782881526,18773.686618728,2849.912790698,2849.912790698,6.776671,2011-02-12T05:50:56.0000000Z,2022-10-03T00:00:00.0000000Z,R,"[
  ""AntiSJW"",
  ""PartisanRight""
]",Anti-SJW,YouTube,https://yt3.ggpht.com/ytc/AL5GRJWNDFRjZBecovU1kLqjYHWcBEKct_JjFctO0Eyj=s88-c-k-c0x00ffffff-no-rj
UCuNfok7ozooi0LZgp6JJS4A,RichieFromBoston,98509408,US,1,405000,39369.670841,39369.670841,110038230,114416.00859771,3602.066405208,19654.512458472,19654.512458472,12.945911,2013-01-02T00:00:00.0000000Z,2020-08-28T00:00:00.0000000Z,R,"[
  ""Conspiracy""
]",Conspiracy,YouTube,https://yt3.ggpht.com/ytc/AKedOLQnjPJ9KPGangF8C5zM29ACXQYUkWfNOqM_I4F2IQ=s88-c-k-c0x00ffffff-no-rj
UCd8tLMaDLxUpNG4NqQuhmVw,Roman Styran,18411615,,0.85,49400,14669.571307,14669.571307,17178068,1062.843426805,6515.82769039,6881.96013289,5849.666112957,12.049180,2014-02-23T00:00:00.0000000Z,2017-05-09T00:00:00.0000000Z,C,"[
  ""Mainstream News""
]",Center/Left MSM,Mainstream Media,https://yt3.ggpht.com/ytc/AL5GRJWKMVbvgp5Hj-RtwzMZphheKEuhHbYs-TTxArkFkQM=s88-c-k-c0x00ffffff-no-rj
UCq18eeL7D9Vd8DhjMcLh9QQ,Good Morning Britain,1018757847,GB,1,1170000,328343.433776,328343.433776,964344665,610017.862375433,1029293.15774272,365552.911129568,365552.911129568,4.835588,2014-09-08T00:00:00.0000000Z,2022-09-23T00:00:00.0000000Z,C,"[
  ""Mainstream News""
]",Center/Left MSM,Mainstream Media,https://yt3.ggpht.com/lapo1AqQl1JuJR_zZzmMXpZdFKfzDs3MwZSbTU3c9j82Pj02WtDhdPyv3ycddInr0-EJquXlvGQ=s88-c-k-c0x00ffffff-no-rj
UCP7Vt82amCBJSuGxZY5wPDw,CreepSin,939970,US,0.9,17900,648.007117,648.007117,910450,191.902168839,177.840943109,355.466777409,319.920099668,42.036545,2018-11-18T00:00:00.0000000Z,2022-09-23T00:00:00.0000000Z,R,"[
  ""AntiSJW""
]",Anti-SJW,YouTube,https://yt3.ggpht.com/ytc/AL5GRJV8UXfF_pAvdpLCGo7cKYj_TK8GcBGWi-tkLWwB=s88-c-k-c0x00ffffff-no-rj
UC-sLjpZYal3Y6Wso5qwaxhw,Joe Walker,5490407,,0.9,26200,7909.445104,7909.445104,5330966,10.675920289,419.257767064,839.159468439,755.243521595,24.714286,2012-12-25T00:00:00.0000000Z,2014-10-30T00:00:00.0000000Z,R,"[
  ""Conspiracy"",
  ""ReligiousConservative""
]",Conspiracy,YouTube,https://yt3.ggpht.com/ytc/AL5GRJVW6kI796sU6k_SO-VpKNCd3FKbbKFT3AXMfsRXVA=s88-c-k-c0x00ffffff-no-rj
UCBu0KdNokE4MqdkacvH37_A,WFAA,376793821,US,0.95,392000,54682.027812,54682.027812,306711494,62287.116502971,140987.894659511,202291.287375415,192176.723006645,5.126768,2007-05-23T00:00:00.0000000Z,2022-09-30T00:00:00.0000000Z,C,"[
  ""Mainstream News""
]",Center/Left MSM,Mainstream Media,https://yt3.ggpht.com/ytc/AL5GRJXNftm1qbJFQ692mCI2sHulj_dPGazLXUmCsDyfLg=s88-c-k-c0x00ffffff-no-rj
UCfcIRCpBxK1f6RjWzLBXOHw,Foreign Policy Association,5149770,US,0.9,48700,1072.934750,1072.934750,4949448,597.235677752,7269.35924996,1869.456810631,1682.511129568,16.024057,2010-03-05T00:00:00.0000000Z,2022-10-21T00:00:00.0000000Z,C,"[
  ""Mainstream News""
]",Center/Left MSM,Mainstream Media,https://yt3.ggpht.com/ytc/AL5GRJV5IbpcDrrKhpqTFb0sl-7eMRjNq265zrAZfB2MUA=s88-c-k-c0x00ffffff-no-rj
UCAsTFsdNE1QUU9pfcgi6oeA,Yahweh's Restoration Ministry,17088559,US,1,126000,4616.182531,4616.182531,16489004,1409.678906704,2002.919403885,2228.886212625,2228.886212625,66.100254,2013-01-06T00:00:00.0000000Z,2022-10-18T00:00:00.0000000Z,R,"[
  ""Conspiracy"",
  ""ReligiousConservative""
]",Conspiracy,YouTube,https://yt3.ggpht.com/ytc/AL5GRJXCTIx1MIjBHUoaHvQRWlSmnGTnx2dOvgPgjd3IZg=s88-c-k-c0x00ffffff-no-rj
UCfjy9IdZ2n0_OIXPf2VQw4Q,coldcrashpictures,10539178,US,0.95,151000,2480.208941,2480.208941,10374714,3579.788940984,3526.544962592,2011.48089701,1910.906852159,14.582609,2011-04-20T00:00:00.0000000Z,2022-10-02T00:00:00.0000000Z,L,"[
  ""PartisanLeft"",
  ""SocialJustice""
]",Social Justice,YouTube,https://yt3.ggpht.com/ytc/AL5GRJVS8LV3vl-at0xUtX0Ees7V8eZYo_ZWhwn2u8DX6A=s88-c-k-c0x00ffffff-no-rj
UCueWAuV35HS-pkoKt0rmhbA,Oshay Duke Jackson,181114529,US,0.85,289000,88687.301898,88687.301898,154227218,208182.633370688,162829.985906333,122495.529069767,104121.199709302,15.515948,2018-01-16T00:00:00.0000000Z,2022-10-21T00:00:00.0000000Z,C,"[
  ""Black""
]",Black,YouTube,https://yt3.ggpht.com/ytc/AL5GRJWakOXJvCT1WsvQZve9vIEl5WqrHDT7NhFUNetVqA=s88-c-k-c0x00ffffff-no-rj
UCDW7bc62Y0bRowfYJFyoijw,Vegan Phobic,4878783,,0.95,19600,3046.511990,3046.511990,4700768,1818.123094962,790.059596032,3866.427740864,3673.106353821,4.691824,2018-07-31T03:34:28.0000000Z,2022-10-21T00:00:00.0000000Z,R,"[
  ""AntiSJW""
]",Anti-SJW,YouTube,https://yt3.ggpht.com/ytc/AL5GRJVQI5mE_XxzRM-fne45xK-pckAhGadsCYrzKPo=s88-c-k-c0x00ffffff-no-rj
UC9mMt7HEFxVa0godNFbV5fg,Net Zero Watch,4787143,GB,1,24100,1449.712674,1449.712674,4884082,558.838971362,6717.909210702,1540.504152824,1540.504152824,18.904762,2013-04-29T00:00:00.0000000Z,2022-07-20T00:00:00.0000000Z,R,"[
  ""AntiSJW"",
  ""PartisanRight""
]",Anti-SJW,YouTube,https://yt3.ggpht.com/ZvzaoLXkgLB855-V8SyeaBbPN8-9Zt_iC4vHKG2A7GrMdDvRRjhBUEzZIdFUXNRx1E9DjVTCjQ=s88-c-k-c0x00ffffff-no-rj
UCpYZYH_1VTB9q8Leg0TrROA,Better Red Than Dead,159534,,1,20900,362.208103,362.208103,786716,677.944918638,83.941018167,392.245016611,392.245016611,15.873494,2016-09-30T00:00:00.0000000Z,2022-09-11T00:00:00.0000000Z,L,"[
  ""Socialist""
]",Socialist,YouTube,https://yt3.ggpht.com/yqWQLErYOLPsK84C1SG7_fZX_M_pfdnVCJq-oOoV6ThcsMIFqqbf0P6XPQ88D0KhS30N5UXApkM=s88-c-k-c0x00ffffff-no-rj
UCa7SbIMVl5UHycxUbHOpmow,Hagee Ministries,23834798,US,0.9,421000,16723.504468,16723.504468,58013837,62886.643644925,123213.540171067,40110.467607973,36099.420847176,50.334854,2013-04-23T00:00:00.0000000Z,2022-10-22T00:10:44.1937275Z,R,"[
  ""PartisanRight""
]",Partisan Right,YouTube,https://yt3.ggpht.com/ytc/AL5GRJWgTkWCunTj0QWR0MSWn0ZGUU_cQm_zRilA5rf7pKg=s88-c-k-c0x00ffffff-no-rj
UCod6Xu-ec6k0akZaxbqSVSw,Johnny B,25282304,US,0.8,137000,11981.022367,11981.022367,25711274,24164.341043689,19610.390267243,18802.707641196,15042.166112957,6.167355,2016-12-05T03:06:46.0000000Z,2022-10-21T00:00:00.0000000Z,R,"[
  ""PartisanRight""
]",Partisan Right,YouTube,https://yt3.ggpht.com/ytc/AL5GRJVEVmALKso9GcWmyPc-1K15HAB4CDbg0WwbaIe0=s88-c-k-c0x00ffffff-no-rj
UCnipyNLDJAhZfVodknsjhSg,Crop Circles From The Air,551829,IM,0.8,12500,260.126426,260.126426,547306,60.149160384,14.482437568,147.207641196,117.766112957,28.951613,2016-12-22T21:31:32.0000000Z,2022-09-26T00:00:00.0000000Z,C,"[
  ""Conspiracy""
]",Conspiracy,YouTube,https://yt3.ggpht.com/ytc/AL5GRJWKThbczAQC5lEW08dxgj3asXtbQ2e7JvJ61wCB=s88-c-k-c0x00ffffff-no-rj
UCSpgfnd_73JM9kVfynhMiXQ,Luis J. Gomez,10563103,,0.9,60500,3947.609997,3947.609997,15162770,25057.607006344,19353.110505419,11274.90282392,10147.412541528,37.279749,2012-04-13T00:00:00.0000000Z,2022-10-19T00:00:00.0000000Z,R,"[
  ""AntiSJW""
]",Anti-SJW,YouTube,https://yt3.ggpht.com/ytc/AL5GRJU8Ld7Ie6v0RI5-uiLpqFMcMdlgayVaFe6tl78=s88-c-k-c0x00ffffff-no-rj
UCXkQz4N3QR6yibk7sx06hiw,AM to DM,8832972,,1,11000,13400.923313,13400.923313,8737402,3076.037145118,3068.832412512,3993.081395349,3993.081395349,8.378613,2018-06-13T00:00:00.0000000Z,2020-03-26T00:00:00.0000000Z,L,"[
  ""MissingLinkMedia"",
  ""PartisanLeft"",
  ""SocialJustice""
]",Social Justice,Missing Link Media,https://yt3.ggpht.com/ytc/AL5GRJU81XsVQH905ZD5eM7MrBaFUSDSVUY9PygZ-wMp=s88-c-k-c0x00ffffff-no-rj
UCnGLfWQxaippd50mSkGwb8g,Queen of Peace Media,20066174,US,0.8,156000,9940.149160,9940.149160,18926044,12614.69638789,15888.314523663,13326.176079734,10660.940863787,34.903704,2017-08-10T00:00:00.0000000Z,2022-10-27T00:00:00.0000000Z,R,"[
  ""PartisanRight"",
  ""ReligiousConservative""
]",Religious Conservative,YouTube,https://yt3.ggpht.com/ytc/AL5GRJViP4BK-FF_Pno772Vla1ruC5Ge3asn53U-KElYpg=s88-c-k-c0x00ffffff-no-rj
