CHANNEL_ID,CHANNEL_TITLE,CHANNEL_VIEWS,COUNTRY,RELEVANCE,SUBS,CHANNEL_LIFETIME_DAILY_VIEWS,CHANNEL_LIFETIME_DAILY_VIEWS_RELEVANT,CHANNEL_VIDEO_VIEWS,RELEVANT_IMPRESSIONS_DAILY,RELEVANT_IMPRESSIONS_IN_DAILY,VIDEO_VIEWS_DAILY,RELEVANT_VIDEO_VIEWS_DAILY,AVG_MINUTES,FROM_DATE,TO_DATE,LR,TAGS,IDEOLOGY,MEDIA,LOGO_URL,AVAILABLE,VIDEO_COUNT
UCa44lxg7jG18m2sLbfEUUYg,JehToday,11316051,,0.9,51900.0,3879.643128,3879.643128,11262604,43.671205203,234.699601629,1427.525747508,1284.773172757,47.329957,2013-01-03T00:00:00.0000000Z,2020-12-15T00:00:00.0000000Z,R,"[
  ""Conspiracy"",
  ""ReligiousConservative""
]",Conspiracy,YouTube,https://yt3.ggpht.com/ytc/AKedOLQXnfDLFRKrS9h48jkhFLKQyVlRwSHCYbZUdw=s88-c-k-c0x00ffffff-no-rj,NO,
UC5h5uO--syCLZt0UW4Bhldg,Chalk Talk,1059738,,0.95,13800.0,930.436348,930.436348,1059767,29.690964944,274.669600524,190.028239203,180.526827243,23.369748,2018-03-07T00:00:00.0000000Z,2021-04-19T00:00:00.0000000Z,R,"[
  ""Conspiracy"",
  ""PartisanRight"",
  ""ReligiousConservative""
]",Conspiracy,YouTube,https://yt3.ggpht.com/ytc/AKedOLR_Rec2aPDBIyKCPZt7nEm1bZtUYUAfiz25V8Cz=s88-c-k-c0x00ffffff-no-rj,NO,
UC5qxaXPHdEaaoOufE_UdQlA,FASIRIUS,3081619,BE,0.85,23900.0,1400.677083,1400.677083,3092695,26.146173099,12.728253221,227.721760797,193.563496678,17.654206,2014-08-26T00:00:00.0000000Z,2020-09-11T00:00:00.0000000Z,R,"[
  ""Conspiracy"",
  ""PartisanRight""
]",Conspiracy,YouTube,https://yt3.ggpht.com/ytc/AKedOLQjP3vx1qUwTgC5iJqNiIR_xZNR9IZHCYZGrC7PIQ=s88-c-k-c0x00ffffff-no-rj,NO,
UC8-LhLmfkg0KStfM5qUuhyw,WoodwardTV,75309823,US,0.95,464000.0,31142.461637,31142.461637,72655363,21214.314622041,8340.618804266,18229.373754153,17317.905066445,15.350114,2016-06-08T00:00:00.0000000Z,2022-10-28T00:00:00.0000000Z,C,"[
  ""Conspiracy""
]",Conspiracy,YouTube,https://yt3.ggpht.com/ytc/AL5GRJVJNC3xR55j0c-dde5LnsthPgIJhwtT6pbvrzyxGw=s88-c-k-c0x00ffffff-no-rj,YES,567
UCtepd4mjYbx4xF5R7pccBdg,Big Head Scientist,4592197,US,0.8,38500.0,2075.449885,2075.449885,4493349,109.133339169,35.116508703,590.57641196,472.461129568,4.9375,2013-01-26T00:00:00.0000000Z,2018-12-31T00:00:00.0000000Z,C,"[
  ""Black"",
  ""Conspiracy"",
  ""SocialJustice""
]",Conspiracy,YouTube,https://yt3.ggpht.com/ytc/AL5GRJXJ70UzRQsPm7wNVXDh7y7d1FDlHPUBz8pJzxzH=s88-c-k-c0x00ffffff-no-rj,YES,143
UC7UiChjgT_LDKcr_8NEEbMA,Shoe0nHead Live,2148413,US,1.0,226000.0,10655.980574,10655.980574,12616681,46900.115102228,29266.4267194,9006.336378738,9006.336378738,33.553398,2019-06-28T00:00:00.0000000Z,2022-09-24T00:00:00.0000000Z,L,"[
  ""AntiSJW""
]",Anti-SJW,YouTube,https://yt3.ggpht.com/fAKqB2NWGFVJF48EZwY9G87c9nhiO5CY5hxXAHcpGvd-JzFa_luPKXJpEWbpg8eH6AEdtYkNIw=s88-c-k-c0x00ffffff-no-rj,YES,3
UCplVxs_j_sLAt0fkplXcl4A,Senator Mike Lee,5664498,US,1.0,28500.0,1296.025876,1296.025876,5509406,11395.782881526,18773.686618728,2849.912790698,2849.912790698,6.776671,2011-02-12T05:50:56.0000000Z,2022-10-03T00:00:00.0000000Z,R,"[
  ""AntiSJW"",
  ""PartisanRight""
]",Anti-SJW,YouTube,https://yt3.ggpht.com/ytc/AL5GRJWNDFRjZBecovU1kLqjYHWcBEKct_JjFctO0Eyj=s88-c-k-c0x00ffffff-no-rj,YES,1776
UCuNfok7ozooi0LZgp6JJS4A,RichieFromBoston,98509408,US,1.0,405000.0,39369.670841,39369.670841,110038230,114416.00859771,3602.066405208,19654.512458472,19654.512458472,12.945911,2013-01-02T00:00:00.0000000Z,2020-08-28T00:00:00.0000000Z,R,"[
  ""Conspiracy""
]",Conspiracy,YouTube,https://yt3.ggpht.com/ytc/AKedOLQnjPJ9KPGangF8C5zM29ACXQYUkWfNOqM_I4F2IQ=s88-c-k-c0x00ffffff-no-rj,NO,
UCP7Vt82amCBJSuGxZY5wPDw,CreepSin,939970,US,0.9,17900.0,648.007117,648.007117,910450,191.902168839,177.840943109,355.466777409,319.920099668,42.036545,2018-11-18T00:00:00.0000000Z,2022-09-23T00:00:00.0000000Z,R,"[
  ""AntiSJW""
]",Anti-SJW,YouTube,https://yt3.ggpht.com/ytc/AL5GRJV8UXfF_pAvdpLCGo7cKYj_TK8GcBGWi-tkLWwB=s88-c-k-c0x00ffffff-no-rj,YES,306
UC-sLjpZYal3Y6Wso5qwaxhw,Joe Walker,5490407,,0.9,26200.0,7909.445104,7909.445104,5330966,10.675920289,419.257767064,839.159468439,755.243521595,24.714286,2012-12-25T00:00:00.0000000Z,2014-10-30T00:00:00.0000000Z,R,"[
  ""Conspiracy"",
  ""ReligiousConservative""
]",Conspiracy,YouTube,https://yt3.ggpht.com/ytc/AL5GRJVW6kI796sU6k_SO-VpKNCd3FKbbKFT3AXMfsRXVA=s88-c-k-c0x00ffffff-no-rj,YES,76
UCAsTFsdNE1QUU9pfcgi6oeA,Yahweh's Restoration Ministry,17088559,US,1.0,126000.0,4616.182531,4616.182531,16489004,1409.678906704,2002.919403885,2228.886212625,2228.886212625,66.100254,2013-01-06T00:00:00.0000000Z,2022-10-18T00:00:00.0000000Z,R,"[
  ""Conspiracy"",
  ""ReligiousConservative""
]",Conspiracy,YouTube,https://yt3.ggpht.com/ytc/AL5GRJXCTIx1MIjBHUoaHvQRWlSmnGTnx2dOvgPgjd3IZg=s88-c-k-c0x00ffffff-no-rj,YES,486
UCfjy9IdZ2n0_OIXPf2VQw4Q,coldcrashpictures,10539178,US,0.95,151000.0,2480.208941,2480.208941,10374714,3579.788940984,3526.544962592,2011.48089701,1910.906852159,14.582609,2011-04-20T00:00:00.0000000Z,2022-10-02T00:00:00.0000000Z,L,"[
  ""PartisanLeft"",
  ""SocialJustice""
]",Social Justice,YouTube,https://yt3.ggpht.com/ytc/AL5GRJVS8LV3vl-at0xUtX0Ees7V8eZYo_ZWhwn2u8DX6A=s88-c-k-c0x00ffffff-no-rj,YES,119
UCueWAuV35HS-pkoKt0rmhbA,Oshay Duke Jackson,181114529,US,0.85,289000.0,88687.301898,88687.301898,154227218,208182.633370688,162829.985906333,122495.529069767,104121.199709302,15.515948,2018-01-16T00:00:00.0000000Z,2022-10-21T00:00:00.0000000Z,C,"[
  ""Black""
]",Black,YouTube,https://yt3.ggpht.com/ytc/AL5GRJWakOXJvCT1WsvQZve9vIEl5WqrHDT7NhFUNetVqA=s88-c-k-c0x00ffffff-no-rj,YES,6389
UCDW7bc62Y0bRowfYJFyoijw,Vegan Phobic,4878783,,0.95,19600.0,3046.51199,3046.51199,4700768,1818.123094962,790.059596032,3866.427740864,3673.106353821,4.691824,2018-07-31T03:34:28.0000000Z,2022-10-21T00:00:00.0000000Z,R,"[
  ""AntiSJW""
]",Anti-SJW,YouTube,https://yt3.ggpht.com/ytc/AL5GRJVQI5mE_XxzRM-fne45xK-pckAhGadsCYrzKPo=s88-c-k-c0x00ffffff-no-rj,YES,177
UC9mMt7HEFxVa0godNFbV5fg,Net Zero Watch,4787143,GB,1.0,24100.0,1449.712674,1449.712674,4884082,558.838971362,6717.909210702,1540.504152824,1540.504152824,18.904762,2013-04-29T00:00:00.0000000Z,2022-07-20T00:00:00.0000000Z,R,"[
  ""AntiSJW"",
  ""PartisanRight""
]",Anti-SJW,YouTube,https://yt3.ggpht.com/ZvzaoLXkgLB855-V8SyeaBbPN8-9Zt_iC4vHKG2A7GrMdDvRRjhBUEzZIdFUXNRx1E9DjVTCjQ=s88-c-k-c0x00ffffff-no-rj,YES,168
UCpYZYH_1VTB9q8Leg0TrROA,Better Red Than Dead,159534,,1.0,20900.0,362.208103,362.208103,786716,677.944918638,83.941018167,392.245016611,392.245016611,15.873494,2016-09-30T00:00:00.0000000Z,2022-09-11T00:00:00.0000000Z,L,"[
  ""Socialist""
]",Socialist,YouTube,https://yt3.ggpht.com/yqWQLErYOLPsK84C1SG7_fZX_M_pfdnVCJq-oOoV6ThcsMIFqqbf0P6XPQ88D0KhS30N5UXApkM=s88-c-k-c0x00ffffff-no-rj,YES,100
UCa7SbIMVl5UHycxUbHOpmow,Hagee Ministries,23834798,US,0.9,421000.0,16723.504468,16723.504468,58013837,62886.643644925,123213.540171067,40110.467607973,36099.420847176,50.334854,2013-04-23T00:00:00.0000000Z,2022-10-22T00:10:44.1937275Z,R,"[
  ""PartisanRight""
]",Partisan Right,YouTube,https://yt3.ggpht.com/ytc/AL5GRJWgTkWCunTj0QWR0MSWn0ZGUU_cQm_zRilA5rf7pKg=s88-c-k-c0x00ffffff-no-rj,YES,590
UCod6Xu-ec6k0akZaxbqSVSw,Johnny B,25282304,US,0.8,137000.0,11981.022367,11981.022367,25711274,24164.341043689,19610.390267243,18802.707641196,15042.166112957,6.167355,2016-12-05T03:06:46.0000000Z,2022-10-21T00:00:00.0000000Z,R,"[
  ""PartisanRight""
]",Partisan Right,YouTube,https://yt3.ggpht.com/ytc/AL5GRJVEVmALKso9GcWmyPc-1K15HAB4CDbg0WwbaIe0=s88-c-k-c0x00ffffff-no-rj,YES,885
UCnipyNLDJAhZfVodknsjhSg,Crop Circles From The Air,551829,IM,0.8,12500.0,260.126426,260.126426,547306,60.149160384,14.482437568,147.207641196,117.766112957,28.951613,2016-12-22T21:31:32.0000000Z,2022-09-26T00:00:00.0000000Z,C,"[
  ""Conspiracy""
]",Conspiracy,YouTube,https://yt3.ggpht.com/ytc/AL5GRJWKThbczAQC5lEW08dxgj3asXtbQ2e7JvJ61wCB=s88-c-k-c0x00ffffff-no-rj,YES,203
UCSpgfnd_73JM9kVfynhMiXQ,Luis J. Gomez,10563103,,0.9,60500.0,3947.609997,3947.609997,15162770,25057.607006344,19353.110505419,11274.90282392,10147.412541528,37.279749,2012-04-13T00:00:00.0000000Z,2022-10-19T00:00:00.0000000Z,R,"[
  ""AntiSJW""
]",Anti-SJW,YouTube,https://yt3.ggpht.com/ytc/AL5GRJU8Ld7Ie6v0RI5-uiLpqFMcMdlgayVaFe6tl78=s88-c-k-c0x00ffffff-no-rj,YES,747
UCnGLfWQxaippd50mSkGwb8g,Queen of Peace Media,20066174,US,0.8,156000.0,9940.14916,9940.14916,18926044,12614.69638789,15888.314523663,13326.176079734,10660.940863787,34.903704,2017-08-10T00:00:00.0000000Z,2022-10-27T00:00:00.0000000Z,R,"[
  ""PartisanRight"",
  ""ReligiousConservative""
]",Religious Conservative,YouTube,https://yt3.ggpht.com/ytc/AL5GRJViP4BK-FF_Pno772Vla1ruC5Ge3asn53U-KElYpg=s88-c-k-c0x00ffffff-no-rj,YES,298
UC0lq8TJi-nuHikpkSA89SOw,"Hi, I Think I'm Real",178159,US,1.0,19800.0,1091.505302,1091.505302,2058579,781.884302209,422.091258586,229.127076412,229.127076412,15.818792,2017-02-07T04:41:36.0000000Z,2022-04-08T00:37:35.3779968Z,R,"[
  ""AntiSJW""
]",Anti-SJW,YouTube,https://yt3.ggpht.com/ytc/AL5GRJXSkzdAqpCSqeQeT8FXxfdHjm-2QyYWAHSAzRB-iw=s88-c-k-c0x00ffffff-no-rj,YES,6
UCAyrKoW31y5UcsRjh2ItvxQ,In Pursuit of Truth,43408901,,1.0,242000.0,45445.748702,45445.748702,43764256,119934.363271722,4572.798043037,15396.780730897,15396.780730897,26.0784,2018-02-22T12:29:29.0000000Z,2020-10-12T12:50:38.0000000Z,R,"[
  ""Conspiracy"",
  ""PartisanRight"",
  ""QAnon""
]",QAnon,YouTube,https://yt3.ggpht.com/a/AATXAJw8d1ZlC472udiJkn5tGhsCQXsj4C0PHVNKISSabg=s88-c-k-c0xffffffff-no-rj-mo,NO,
UC3J1M68KAh9Si4FrDHnrSJQ,VictoryIndependence,4250018,,0.85,12100.0,1342.354186,1342.354186,4248551,1.072909627,0.4155133646,9.092192691,7.728363787,14.030303,2009-04-03T00:00:00.0000000Z,2017-12-02T00:00:00.0000000Z,R,"[
  ""Libertarian""
]",Libertarian,YouTube,https://yt3.ggpht.com/ytc/AL5GRJUR_yr2YqnuaCp0RP1voHgQe8efmQnanF26Xr5a=s88-c-k-c0x00ffffff-no-rj,YES,460
UCnfWJGuvAPq5UHs6GtPOfDw,The Righteous Acts,3760394,,0.9,46900.0,1798.325145,1798.325145,3733323,41.391540366,9.809690123,180.647009967,162.58230897,61.733333,2015-03-14T00:00:00.0000000Z,2020-11-18T00:00:00.0000000Z,C,"[
  ""Black"",
  ""Conspiracy"",
  ""ReligiousConservative""
]",Conspiracy,YouTube,https://yt3.ggpht.com/ytc/AL5GRJV05Bhbelw1zHr6S_rIK7rlU6aeH9pfFotN4oq5bA=s88-c-k-c0x00ffffff-no-rj,YES,11
UCqPgNd95TaPCpgKgbcwUuCg,The Vista Group,1863059,US,1.0,17100.0,1691.629359,1691.629359,2085779,213.605636321,280.0826431,1576.321428571,1576.321428571,45.32563,2019-05-04T00:00:00.0000000Z,2022-09-18T00:00:00.0000000Z,C,"[
  ""Conspiracy""
]",Conspiracy,YouTube,https://yt3.ggpht.com/ytc/AMLnZu-UkX7MTjt9UV7xHy34Wfm5dimq5vM_xq1bEK65nQ=s88-c-k-c0x00ffffff-no-rj,NO,
UCBuQpiTmgB7swLEjnVn0rTQ,RedPill78 Backup,2868,US,1.0,16600.0,2.044872,2.044872,2871,0.5765870432,0.0,0.1029900332,0.1029900332,6.0,2019-04-15T00:00:00.0000000Z,2019-04-15T00:00:00.0000000Z,R,"[
  ""Conspiracy"",
  ""PartisanRight"",
  ""QAnon""
]",QAnon,YouTube,https://yt3.ggpht.com/a/AATXAJxA4btZhKpYhUnkwSqD5tR9num0iqlaxaeOrkkm=s88-c-k-c0xffffffff-no-rj-mo,NO,
UCbxXu42P7hiExin_nfG5XQw,Conservative Home,1090486,GB,0.95,11600.0,380.590909,380.590909,1071744,731.097131772,467.993350476,275.839700997,262.047715947,42.349794,2015-01-18T00:00:00.0000000Z,2022-10-04T00:00:00.0000000Z,R,"[
  ""PartisanRight""
]",Partisan Right,YouTube,https://yt3.ggpht.com/Ofq2M306I05NImfa_adWmmA5vEO0IYt48HetoJ8KUyCxgk9NUfBF0-PNR4QWduzUGcoTInJRVow=s88-c-k-c0x00ffffff-no-rj,YES,172
UC2xb0PebSBqFYyIQ0VpHb8Q,BlackTruthForever,1267925,,0.95,14900.0,501.551409,501.551409,1263408,20.341965629,6.807886403,33.542358804,31.865240864,8.728571,2009-08-14T00:00:00.0000000Z,2016-07-07T00:00:00.0000000Z,L,"[
  ""Black"",
  ""SocialJustice""
]",Black,YouTube,https://yt3.ggpht.com/ytc/AL5GRJWv9zJpR_c95i4qzcvh1JH0CG_bXrH3ahiA70sN=s88-c-k-c0x00ffffff-no-rj,YES,70
UCREVRBQDqTgB7R38nF_FcHQ,G Man,1812015,US,1.0,13400.0,882.188251,882.188251,3303795,273.380635507,50.949301387,193.819767442,193.819767442,56.583333,2012-07-13T00:00:00.0000000Z,2022-10-14T00:00:00.0000000Z,R,"[
  ""ReligiousConservative""
]",Religious Conservative,YouTube,https://yt3.ggpht.com/FSUHL0VZFA-vMufHEE9tuZ9X7eZhAweDiW8Q2t9j0cSWEe9bBpfIgAwyYyKo9rBapAFGVEIb=s88-c-k-c0x00ffffff-no-rj,YES,738
